"year","ice_extent","ice_area"
"1979","6998892.433","6455322.563"
"1980","7862302.527","7010784.424"
"1981","7203627.698","6438129.712"
"1982","7342438.729","6662314.987"
"1983","7537161.907","6785270.823"
"1984","6839268.654","6206512.681"
"1985","6790226.564","6140910.783"
"1986","7387939.512","6663552.810"
"1987","7298438.906","6248912.671"
"1988","7468998.976","6492643.306"
"1989","7183830.265","6265363.269"
"1990","6324112.083","5635686.526"
"1991","6455794.659","5733746.696"
"1992","7294791.561","6499373.877"
"1993","6220624.815","5469105.129"
"1994","7150740.914","6273856.492"
"1995","6084582.268","5544039.889"
"1996","7593789.238","6752524.653"
"1997","6845361.727","6133342.827"
"1998","6425787.919","5607585.565"
"1999","6178309.180","5200637.558"
"2000","6373632.164","5512233.862"
"2001","6798659.948","5879375.563"
"2002","5814063.217","5126711.231"
"2003","6211162.855","5393702.839"
"2004","6064216.950","5399485.758"
"2005","5496227.521","4951513.038"
"2006","5968885.656","5160366.672"
"2007","4220924.572","3712601.655"
"2008","4714050.405","4033307.445"
"2009","5314918.981","4587511.753"
"2010","4857585.563","4106893.550"
"2011","4512820.032","3734480.181"
"2012","3404542.729","2910646.467"
"2013","5174751.862","4645969.355"
"2014","5257618.161","4527100.482"
"2015","4593913.960","3813979.253"
"2016","4325422.284","3560391.982"
"2017","4811455.638","4172772.380"
